,size_M5,size_M8,r_next,ram_score,ram_severity,ram_flag,psa_score,psa_severity,psa_flag,gso_score,gso_severity,gso_flag,gso_bound,gso_bounded_size
2024-10-01,-0.09991520,-0.09991520,0.00924712,0.00234998,none,False,0.00000000,none,False,0.09829484,none,False,0.09097302,-0.09097302
2024-10-02,-0.09991410,-0.09991410,0.01694957,0.00053220,none,False,0.00000000,none,False,0.19910905,none,False,0.08332361,-0.08332361
2024-10-03,-0.09992970,-0.09992970,0.05287570,0.00026586,none,False,0.00000000,none,False,0.03321996,none,False,0.09671677,-0.09671677
2024-10-04,-0.09993620,-0.09993620,-0.01981487,0.00031835,none,False,0.00000000,none,False,0.00000000,none,False,0.10622596,-0.09993620
2024-10-07,-0.09998030,-0.09998030,-0.01005664,0.00009936,none,False,0.00000000,none,False,0.04187361,none,False,0.09596202,-0.09596202
2024-10-08,-0.09993750,-0.09993750,-0.02494535,0.00004453,none,False,0.00000000,none,False,0.00000000,none,False,0.10692945,-0.09993750
2024-10-09,-0.09988730,-0.09988730,-0.01369438,0.00003809,none,False,0.00805403,medium,True,0.00000000,none,False,0.11694155,-0.09988730
2024-10-10,-0.09989680,-0.09989680,0.05430912,0.00003290,none,False,0.00724051,medium,True,0.00000000,none,False,0.12013880,-0.09989680
2024-10-11,-0.09990880,-0.09990880,0.05445989,0.00011314,none,False,0.00673318,medium,True,0.00000000,none,False,0.12560767,-0.09990880
2024-10-14,-0.09985680,-0.09985680,-0.00353980,0.00013092,none,False,0.00638510,medium,True,0.00000000,none,False,0.10205924,-0.09985680
2024-10-15,-0.09984240,-0.09984240,0.06630999,0.00003954,none,False,0.00613044,medium,True,0.06968575,none,False,0.09333806,-0.09333806
2024-10-16,-0.09999720,-0.09999720,-0.00387918,0.00028278,none,False,0.00593530,medium,True,0.00000000,none,False,0.10641196,-0.09999720
2024-10-17,-0.09998240,-0.09998240,0.04717594,0.00004771,none,False,0.00578050,medium,True,0.12660904,none,False,0.08874631,-0.08874631
2024-10-18,-0.09995550,-0.09995550,-0.00904502,0.00012219,none,False,0.00565434,medium,True,0.00000000,none,False,0.10246212,-0.09995550
2024-10-21,-0.09987520,-0.09987520,0.01380066,0.00005398,none,False,0.00554927,medium,True,0.02673262,none,False,0.09727479,-0.09727479
2024-10-22,-0.09991140,-0.09991140,-0.04860566,0.00005379,none,False,0.00546021,medium,True,0.00000000,none,False,0.10950896,-0.09991140
2024-10-23,-0.09997190,-0.09997190,0.00826677,0.00014767,none,False,0.00538361,medium,True,0.00000000,none,False,0.11633225,-0.09997190
2024-10-24,-0.09992710,-0.09992710,-0.06578334,0.00006402,none,False,0.00531692,medium,True,0.00000000,none,False,0.10752889,-0.09992710
2024-10-25,-0.09984560,-0.09984560,0.10453961,0.00024910,none,False,0.00525823,medium,True,0.00000000,none,False,0.11637140,-0.09984560
2024-10-28,-0.09997160,-0.09997160,0.00000000,0.00920848,none,False,0.00520611,medium,True,0.03041388,none,False,0.09702082,-0.09702082
2024-10-29,-0.09981380,-0.09981380,-0.03546851,0.00033590,none,False,0.00515946,medium,True,0.45122231,none,False,0.06877913,-0.06877913
2024-10-30,-0.09981380,-0.09981380,-0.08621600,0.00009681,none,False,0.00511742,medium,True,0.19582824,none,False,0.08346834,-0.08346834
2024-10-31,-0.09999160,-0.09999160,-0.04015137,0.00220875,none,False,0.00507928,medium,True,0.07396554,none,False,0.09310504,-0.09310504
2024-11-01,-0.09994920,-0.09994920,-0.03860021,0.00050590,none,False,0.00504451,medium,True,0.27115262,none,False,0.07862880,-0.07862880
2024-11-04,-0.09988200,-0.09988200,0.04663730,0.00030146,none,False,0.00501266,medium,True,0.13514415,none,False,0.08799059,-0.08799059
2024-11-05,-0.09997500,-0.09997500,0.17366349,0.00047417,none,False,0.00498333,medium,True,0.04571115,none,False,0.09560480,-0.09560480
2024-11-06,-0.09987600,-0.09987600,-0.00051774,0.06710432,none,False,0.00495623,medium,True,0.06240324,none,False,0.09400950,-0.09400950
2024-11-07,-0.09988440,-0.09988440,-0.00311201,0.00327801,none,False,0.00493110,medium,True,1.07115849,none,False,0.04822634,-0.04822634
2024-11-08,-0.09983270,-0.09983270,0.26176469,0.00054396,none,False,0.00490771,medium,True,0.63441746,none,False,0.06108152,-0.06108152
2024-11-11,-0.09990750,0.07545647,0.00875799,0.45454721,medium,True,0.00488588,medium,True,0.32404146,none,False,0.07545647,-0.07545647
2024-11-12,-0.09978990,-0.09978990,-0.15072145,0.06061989,none,False,0.00486544,medium,True,1.97584470,none,False,0.03353330,-0.03353330
2024-11-13,-0.09991080,-0.09991080,-0.04284015,0.09529840,none,False,0.00484626,low,False,1.30315042,none,False,0.04338006,-0.04338006
2024-11-14,-0.09982000,-0.09982000,0.01337807,0.02456017,none,False,0.00482822,low,False,1.35956827,none,False,0.04230435,-0.04230435
2024-11-15,-0.09999990,-0.09999990,-0.15138591,0.00709126,none,False,0.00481120,low,False,0.89090045,none,False,0.05288481,-0.05288481
2024-11-18,-0.09987180,-0.09987180,0.09224338,0.05748207,none,False,0.00479513,low,False,0.51443851,none,False,0.06594642,-0.06594642
2024-11-19,-0.09996720,-0.09996720,0.13056873,0.12635056,none,False,0.00477991,low,False,0.97196915,none,False,0.05069410,-0.05069410
2024-11-20,-0.09989580,0.05381900,0.06624944,0.63603254,medium,True,0.00476549,low,False,0.85614374,none,False,0.05381900,-0.05381900
2024-11-21,-0.09979830,0.04901531,0.07372389,0.82856124,high,True,0.00475178,low,False,1.03606390,none,False,0.04901531,-0.04901531
2024-11-22,-0.09986340,0.05645863,0.01487156,0.94356169,high,True,0.00473874,low,False,0.76878903,none,False,0.05645863,-0.05645863
2024-11-25,-0.09995520,0.06116300,-0.05644623,0.94354910,high,True,0.00472631,low,False,0.63424291,none,False,0.06116300,-0.06116300
2024-11-26,-0.09986760,0.07471905,0.07519443,0.94501708,high,True,0.00471445,low,False,0.33657476,none,False,0.07471905,-0.07471905
2024-11-27,-0.09988000,0.08040641,0.01840317,0.97169300,high,True,0.00470312,low,False,0.24218947,none,False,0.08040641,-0.08040641
2024-11-29,-0.09987320,0.07470168,-0.06750917,0.96053624,high,True,0.00469228,low,False,0.33696056,none,False,0.07470168,-0.07470168
2024-12-02,-0.09980880,0.08753762,-0.01970119,0.95467073,high,True,0.00468189,low,False,0.14018177,none,False,0.08753762,-0.08753762
2024-12-03,-0.09995700,0.08425758,0.03249454,0.92689885,high,True,0.00467193,low,False,0.18632644,none,False,0.08425758,-0.08425758
2024-12-04,-0.09976610,0.09721829,-0.04611647,0.89621597,high,True,0.00466238,low,False,0.02620712,none,False,0.09721829,-0.09721829
2024-12-05,-0.09994600,0.10116575,0.06405936,0.88237560,high,True,0.00465319,low,False,0.00000000,none,False,0.10116575,-0.09994600
2024-12-06,-0.09990370,0.10115908,-0.10229630,0.77187442,high,True,0.00464435,low,False,0.00000000,none,False,0.10115908,-0.09990370
2024-12-09,-0.09990540,0.08806223,-0.04500443,0.80898307,high,True,0.00463585,low,False,0.13448643,none,False,0.08806223,-0.08806223
2024-12-10,-0.09997340,0.07054742,0.01996598,0.74515466,high,True,0.00462765,low,False,0.41710929,none,False,0.07054742,-0.07054742
2024-12-11,-0.09990780,-0.09990780,-0.03010044,0.13829080,none,False,0.00461974,low,False,0.24597758,none,False,0.08018427,-0.08018427
2024-12-12,-0.09982830,-0.09982830,0.00662106,0.00998197,none,False,0.00461211,low,False,0.08351033,none,False,0.09213415,-0.09213415
2024-12-13,-0.09980360,-0.09980360,0.07743346,0.00079755,none,False,0.00460474,low,False,0.00000000,none,False,0.10134691,-0.09980360
2024-12-16,-0.09978470,-0.09978470,0.00162738,0.00083035,none,False,0.00459761,low,False,0.00000000,none,False,0.11206571,-0.09978470
2024-12-17,-0.09995920,-0.09995920,-0.12959026,0.00044374,none,False,0.00459072,low,False,0.18418441,none,False,0.08441185,-0.08441185
2024-12-18,-0.09987600,-0.09987600,-0.05909293,0.00187015,none,False,0.00458405,low,False,0.01474671,none,False,0.09842456,-0.09842456
2024-12-19,-0.09983820,-0.09983820,-0.02033305,0.00061039,none,False,0.00457758,low,False,0.58634048,none,False,0.06293618,-0.06293618
2024-12-20,-0.09981300,-0.09981300,-0.03621916,0.00045618,none,False,0.00457132,low,False,0.40996506,none,False,0.07079112,-0.07079112
2024-12-23,-0.09999960,-0.09999960,0.04569321,0.00053121,none,False,0.00456524,low,False,0.18093230,none,False,0.08467852,-0.08467852
2024-12-24,-0.09990750,-0.09990750,-0.04309921,0.00063852,none,False,0.00455934,low,False,0.06463825,none,False,0.09384173,-0.09384173
2024-12-26,-0.09994400,-0.09994400,-0.04558281,0.00062350,none,False,0.00455362,low,False,0.06938161,none,False,0.09345962,-0.09345962
2024-12-27,-0.09997400,-0.09997400,-0.06439389,0.00064931,none,False,0.00454806,low,False,0.02262392,none,False,0.09776223,-0.09776223
2024-12-30,-0.09994480,-0.09994480,-0.03053675,0.00097836,none,False,0.00454265,low,False,0.00533842,none,False,0.09941409,-0.09941409
2024-12-31,-0.09993621,-0.09993621,0.02589895,0.00078428,none,False,0.00453739,low,False,0.09463411,none,False,0.09129645,-0.09129645
2025-01-02,-0.09994920,-0.09994920,0.13207771,0.00074702,none,False,0.00453228,low,False,0.00000000,none,False,0.10058248,-0.09994920
2025-01-03,-0.09999009,-0.09999009,0.04529263,0.00237808,none,False,0.00452730,low,False,0.00000000,none,False,0.10601059,-0.09999009
2025-01-06,-0.09996760,-0.09996760,-0.07474450,0.00059802,none,False,0.00452245,low,False,0.65672388,none,False,0.06034053,-0.06034053
2025-01-07,-0.09987300,-0.09987300,-0.03903193,0.00067453,none,False,0.00451773,low,False,0.43290218,none,False,0.06969980,-0.06969980
2025-01-08,-0.09992680,-0.09992680,-0.02652087,0.00049050,none,False,0.00451312,low,False,0.39290535,none,False,0.07173983,-0.07173983
2025-01-10,-0.09995300,-0.09995300,-0.03823576,0.00050323,none,False,0.00450863,low,False,0.21123769,none,False,0.08252138,-0.08252138
2025-01-13,-0.09983740,-0.09983740,0.00984089,0.00054508,none,False,0.00450425,low,False,0.05671557,none,False,0.09447897,-0.09447897
2025-01-14,-0.09987390,-0.09987390,0.04450180,0.00048995,none,False,0.00449998,low,False,0.00000000,none,False,0.10031456,-0.09987390
2025-01-15,-0.09999360,-0.09999360,0.00823048,0.00055704,none,False,0.00449581,low,False,0.00000000,none,False,0.11067862,-0.09999360
2025-01-16,-0.09982500,-0.09982500,0.08432109,0.00046218,none,False,0.00449173,low,False,0.00000000,none,False,0.10258317,-0.09982500
2025-01-17,-0.09991800,-0.09991800,-0.01773547,0.00089902,none,False,0.00448775,low,False,0.00000000,none,False,0.11272370,-0.09991800
2025-01-21,-0.09994820,-0.09994820,0.00662428,0.00047595,none,False,0.00448386,low,False,0.23429503,none,False,0.08097594,-0.08097594
2025-01-22,-0.09995160,-0.09995160,0.01311826,0.00065317,none,False,0.00448006,low,False,0.05692911,none,False,0.09456793,-0.09456793
2025-01-23,-0.09982830,-0.09982830,0.00200296,0.00075192,none,False,0.00447634,low,False,0.00000000,none,False,0.10668238,-0.09982830
2025-01-24,-0.09994950,-0.09994950,-0.08887762,0.00075821,none,False,0.00447271,low,False,0.00000000,none,False,0.11456952,-0.09994950
2025-01-27,-0.09995000,-0.09995000,-0.00164162,0.00128732,none,False,0.00446915,low,False,0.00000000,none,False,0.12242706,-0.09995000
2025-01-28,-0.09986340,-0.09986340,0.00872415,0.00068233,none,False,0.00446567,low,False,0.17673168,none,False,0.08486506,-0.08486506
2025-01-29,-0.09988220,-0.09988220,0.04043105,0.00068541,none,False,0.00446225,low,False,0.00918208,none,False,0.09897342,-0.09897342
2025-01-30,-0.09983640,-0.09983640,-0.04478361,0.00080947,none,False,0.00445892,low,False,0.00000000,none,False,0.10986016,-0.09983640
2025-01-31,-0.09992780,-0.09992780,-0.02149432,0.00093439,none,False,0.00445564,low,False,0.00000000,none,False,0.10447734,-0.09992780
2025-02-03,-0.09995300,-0.09995300,-0.01685440,0.00082808,none,False,0.00445244,low,False,0.00000000,none,False,0.10366558,-0.09995300
2025-02-04,-0.09998150,-0.09998150,-0.03575923,0.00081104,none,False,0.00444929,low,False,0.00000000,none,False,0.11236099,-0.09998150
2025-02-05,-0.09989900,-0.09989900,-0.01359769,0.00199382,none,False,0.00444621,low,False,0.00000000,none,False,0.11969184,-0.09989900
2025-02-06,-0.09996610,-0.09996610,-0.00178724,0.00033640,none,False,0.00444319,low,False,0.00000000,none,False,0.11660458,-0.09996610
2025-02-07,-0.09996000,-0.09996000,-0.00059649,0.00004219,none,False,0.00444023,low,False,0.00000000,none,False,0.12328637,-0.09996000
2025-02-10,-0.09994920,-0.09994920,-0.04515714,0.00003210,none,False,0.00443732,low,False,0.00000000,none,False,0.12861637,-0.09994920
2025-02-11,-0.09988960,-0.09988960,0.01363935,0.00006692,none,False,0.00443447,low,False,0.00000000,none,False,0.13189443,-0.09988960
2025-02-12,-0.09996480,-0.09996480,0.04042783,0.00003559,none,False,0.00443167,low,False,0.00000000,none,False,0.11629598,-0.09996480
