,size_M5,size_M8,r_next,ram_score,ram_severity,ram_flag,psa_score,psa_severity,psa_flag,gso_score,gso_severity,gso_flag,gso_bound,gso_bounded_size
2024-10-01,-0.09954133,-0.09954133,0.01568812,0.00125300,none,False,0.00000000,none,False,0.00000000,none,False,0.17713040,-0.09954133
2024-10-02,-0.09941057,-0.09941057,0.03310196,0.00997210,none,False,0.00000000,none,False,0.00000000,none,False,0.17612506,-0.09941057
2024-10-03,-0.09979443,-0.09979443,0.01670940,0.00749930,none,False,0.00000000,none,False,0.00000000,none,False,0.17979337,-0.09979443
2024-10-04,-0.09946905,-0.09946905,0.02216689,0.01044460,none,False,0.00000000,none,False,0.00000000,none,False,0.18038554,-0.09946905
2024-10-07,-0.09989639,-0.09989639,0.03968126,0.03889985,none,False,0.00000000,none,False,0.00000000,none,False,0.18396713,-0.09989639
2024-10-08,-0.09958211,-0.09958211,-0.00180759,0.03087979,none,False,0.00000000,none,False,0.00000000,none,False,0.18673581,-0.09958211
2024-10-09,-0.09962798,-0.09962798,0.01615234,0.06229624,none,False,0.00805407,low,False,0.00000000,none,False,0.18510687,-0.09962798
2024-10-10,-0.09944806,0.18969807,-0.00007417,0.70908336,high,True,0.00724055,low,False,0.00000000,none,False,0.18969807,-0.09944806
2024-10-11,-0.09971986,0.19340094,0.02396863,0.98827385,high,True,0.00673320,low,False,0.00000000,none,False,0.19340094,-0.09971986
2024-10-14,-0.09971246,0.19819871,-0.04799380,0.99874524,high,True,0.00638512,low,False,0.00000000,none,False,0.19819871,-0.09971246
2024-10-15,-0.09937100,0.20040280,0.03082689,0.98020339,high,True,0.00613046,low,False,0.00000000,none,False,0.20040280,-0.09937100
2024-10-16,-0.09997636,0.19302243,0.00887589,0.98779034,high,True,0.00593531,low,False,0.00000000,none,False,0.19302243,-0.09997636
2024-10-17,-0.09903631,0.19363444,0.00778387,0.99683609,high,True,0.00578054,low,False,0.00000000,none,False,0.19363444,-0.09903631
2024-10-18,-0.09991927,0.19816227,0.04054367,0.99893220,high,True,0.00565435,low,False,0.00000000,none,False,0.19816227,-0.09991927
2024-10-21,-0.09932061,0.20284419,-0.00083524,0.99623705,high,True,0.00554929,none,False,0.00000000,none,False,0.20284419,-0.09932061
2024-10-22,-0.09912059,0.19950744,-0.02846757,0.99851080,high,True,0.00546024,none,False,0.00000000,none,False,0.19950744,-0.09912059
2024-10-23,-0.09903784,0.20441387,0.00607215,0.99616769,high,True,0.00538365,none,False,0.00000000,none,False,0.20441387,-0.09903784
2024-10-24,-0.09904832,0.20439059,0.00801561,0.99828303,high,True,0.00531695,none,False,0.00000000,none,False,0.20439059,-0.09904832
2024-10-25,-0.09965158,0.20928860,-0.00723240,0.99847354,high,True,0.00525824,none,False,0.00000000,none,False,0.20928860,-0.09965158
2024-10-28,-0.09903872,0.21413336,0.00518140,0.99894013,high,True,0.00520613,none,False,0.00000000,none,False,0.21413336,-0.09903872
2024-10-29,-0.09972966,0.21885753,-0.01361437,0.99907487,high,True,0.00515947,none,False,0.00000000,none,False,0.21885753,-0.09972966
2024-10-30,-0.09883580,0.22406082,-0.04837390,0.99963872,high,True,0.00511744,none,False,0.00000000,none,False,0.22406082,-0.09883580
2024-10-31,-0.09889218,0.22775224,0.01969032,0.98084284,high,True,0.00507932,none,False,0.00000000,none,False,0.22775224,-0.09889218
2024-11-01,-0.09953054,0.21537014,0.00478905,0.99543236,high,True,0.00504453,none,False,0.00000000,none,False,0.21537014,-0.09953054
2024-11-04,-0.12993248,0.21832689,0.02797693,0.99818748,high,True,0.00501767,none,False,0.00000000,none,False,0.21832689,-0.12993248
2024-11-05,-0.12919627,0.22354149,0.03993244,0.99701924,high,True,0.00498948,none,False,0.00000000,none,False,0.22354149,-0.12919627
2024-11-06,0.00000000,0.00000000,0.02220882,0.00000000,none,False,0.00502587,none,False,0.00000000,none,False,0.22365724,0.00000000
2024-11-07,-0.13099706,0.21835644,-0.00843141,0.99632576,high,True,0.00495744,none,False,0.00000000,none,False,0.21835644,-0.13099706
2024-11-08,-0.13096248,0.22059058,-0.01618403,0.99720063,high,True,0.00492400,none,False,0.00000000,none,False,0.22059058,-0.13096248
2024-11-11,-0.13133861,0.22522959,0.02064454,0.99581432,high,True,0.00489921,none,False,0.00000000,none,False,0.22522959,-0.13133861
2024-11-12,-0.13068215,0.22827556,-0.01371556,0.99607020,high,True,0.00487731,none,False,0.00000000,none,False,0.22827556,-0.13068215
2024-11-13,-0.13192576,0.23075968,0.00334438,0.99928513,high,True,0.00485787,none,False,0.00000000,none,False,0.23075968,-0.13192576
2024-11-14,-0.13159082,0.23439146,-0.03311241,0.99971598,high,True,0.00483946,none,False,0.00000000,none,False,0.23439146,-0.13159082
2024-11-15,-0.13203163,0.23994920,-0.01297300,0.99810108,high,True,0.00482228,none,False,0.00000000,none,False,0.23994920,-0.13203163
2024-11-18,-0.13198903,0.23506438,0.04778747,0.99896896,high,True,0.00480593,none,False,0.00000000,none,False,0.23506438,-0.13198903
2024-11-19,-0.13308970,0.23885665,-0.00764768,0.99371781,high,True,0.00479082,none,False,0.00000000,none,False,0.23885665,-0.13308970
2024-11-20,-0.13225655,0.22647780,0.00533227,0.99807178,high,True,0.00477592,none,False,0.00000000,none,False,0.22647780,-0.13225655
2024-11-21,-0.13270727,0.23128499,-0.03271025,0.99925364,high,True,0.00476207,none,False,0.00000000,none,False,0.23128499,-0.13270727
2024-11-22,-0.13195068,0.23668726,-0.04267290,0.99577064,high,True,0.00474856,none,False,0.00000000,none,False,0.23668726,-0.13195068
2024-11-25,-0.13479905,0.23237310,0.00659477,0.96865566,high,True,0.00473682,none,False,0.00000000,none,False,0.23237310,-0.13479905
2024-11-26,-0.13324676,0.22275728,-0.01160681,0.98502560,high,True,0.00472441,none,False,0.00000000,none,False,0.22275728,-0.13324676
2024-11-27,-0.13823438,0.22792974,0.02127372,0.98834339,high,True,0.00471461,none,False,0.00000000,none,False,0.22792974,-0.13823438
2024-11-29,-0.13799206,0.23205095,0.00274478,0.98636234,high,True,0.00470382,none,False,0.00000000,none,False,0.23205095,-0.13799206
2024-12-02,-0.13819521,0.23425035,0.01168940,0.99763255,high,True,0.00469337,none,False,0.00000000,none,False,0.23425035,-0.13819521
2024-12-03,-0.13857504,0.23982380,0.03420085,0.99873738,high,True,0.00468337,none,False,0.00000000,none,False,0.23982380,-0.13857504
2024-12-04,-0.14020441,0.24449946,-0.00048234,0.99526206,high,True,0.00467427,none,False,0.00000000,none,False,0.24449946,-0.14020441
2024-12-05,-0.13927916,0.24005306,-0.01822658,0.99823981,high,True,0.00466465,none,False,0.00000000,none,False,0.24005306,-0.13927916
2024-12-06,-0.14211225,0.24571359,-0.02581490,0.99911903,high,True,0.00465670,none,False,0.00000000,none,False,0.24571359,-0.14211225
2024-12-09,-0.14239336,0.24767927,-0.02731289,0.99890829,high,True,0.00464833,none,False,0.00000000,none,False,0.24767927,-0.14239336
2024-12-10,-0.14153982,0.24612029,0.03090844,0.99825294,high,True,0.00463965,none,False,0.00000000,none,False,0.24612029,-0.14153982
2024-12-11,-0.14177704,0.24388631,-0.01424199,0.99674755,high,True,0.00463159,none,False,0.00000000,none,False,0.24388631,-0.14177704
2024-12-12,-0.14065700,0.24133769,-0.02275588,0.99818232,high,True,0.00462334,none,False,0.00000000,none,False,0.24133769,-0.14065700
2024-12-13,-0.14141386,0.24473385,-0.01690185,0.99732797,high,True,0.00461599,none,False,0.00000000,none,False,0.24473385,-0.14141386
2024-12-16,-0.14225839,0.24484173,-0.01227192,0.99758149,high,True,0.00460906,none,False,0.00000000,none,False,0.24484173,-0.14225839
2024-12-17,-0.14119371,0.24731769,-0.01141541,0.99876488,high,True,0.00460166,none,False,0.00000000,none,False,0.24731769,-0.14119371
2024-12-18,-0.14207855,0.25122452,0.01363690,0.99889935,high,True,0.00459510,none,False,0.00000000,none,False,0.25122452,-0.14207855
2024-12-19,-0.14175456,0.25534616,0.03029857,0.99982336,high,True,0.00458841,none,False,0.00000000,none,False,0.25534616,-0.14175456
2024-12-20,-0.14239454,0.25957480,0.03623250,0.99930505,high,True,0.00458222,none,False,0.00000000,none,False,0.25957480,-0.14239454
2024-12-23,-0.14138866,0.25603402,0.00393023,0.99732754,high,True,0.00457567,none,False,0.00000000,none,False,0.25603402,-0.14138866
2024-12-24,-0.14102048,0.24896388,-0.00207041,0.99936370,high,True,0.00456945,none,False,0.00000000,none,False,0.24896388,-0.14102048
2024-12-26,-0.14157583,0.25473442,-0.02108855,0.99985789,high,True,0.00456375,none,False,0.00000000,none,False,0.25473442,-0.14157583
2024-12-27,-0.14268185,0.26053788,0.00349727,0.99970865,high,True,0.00455848,none,False,0.00000000,none,False,0.26053788,-0.14268185
2024-12-30,-0.14244372,0.26064827,-0.02354938,0.99982620,high,True,0.00455293,none,False,0.00000000,none,False,0.26064827,-0.14244372
2024-12-31,-0.14294274,0.26661979,0.02949574,0.99969320,high,True,0.00454773,none,False,0.00000000,none,False,0.26661979,-0.14294274
2025-01-02,-0.14230078,0.26500862,0.04357449,0.99934276,high,True,0.00454230,none,False,0.00000000,none,False,0.26500862,-0.14230078
2025-01-03,-0.14241265,0.26149105,0.03375607,0.99526273,high,True,0.00453720,none,False,0.00000000,none,False,0.26149105,-0.14241265
2025-01-06,-0.14153423,0.24796532,-0.06418614,0.99660435,high,True,0.00453195,none,False,0.00000000,none,False,0.24796532,-0.14153423
2025-01-07,-0.14191199,0.24342600,-0.00021405,0.53000368,medium,True,0.00452719,none,False,0.00000000,none,False,0.24342600,-0.14191199
2025-01-08,-0.14009409,0.21505649,-0.03043481,0.52169327,medium,True,0.00452192,none,False,0.00000000,none,False,0.21505649,-0.14009409
2025-01-10,-0.14006410,-0.14006410,-0.01991606,0.26129659,low,False,0.00451723,none,False,0.00000000,none,False,0.22027802,-0.14006410
2025-01-13,-0.13994146,-0.13994146,-0.01109495,0.19684256,none,False,0.00451270,none,False,0.00000000,none,False,0.21851730,-0.13994146
2025-01-14,-0.13984567,-0.13984567,0.03343617,0.29758090,low,False,0.00450831,none,False,0.00000000,none,False,0.22063683,-0.13984567
2025-01-15,-0.14093701,-0.14093701,-0.01979237,0.18072156,none,False,0.00450436,none,False,0.00000000,none,False,0.22484325,-0.14093701
2025-01-16,-0.14028125,-0.14028125,0.03052432,0.14001851,none,False,0.00450006,none,False,0.00000000,none,False,0.22258580,-0.14028125
2025-01-17,-0.14020256,-0.14020256,0.02240343,0.07493063,none,False,0.00449595,none,False,0.00000000,none,False,0.22464207,-0.14020256
2025-01-21,-0.14041820,-0.14041820,0.04335531,0.05213537,none,False,0.00449204,none,False,0.00000000,none,False,0.22367262,-0.14041820
2025-01-22,-0.13937604,-0.13937604,0.00101928,0.00880449,none,False,0.00448788,none,False,0.00000000,none,False,0.22572079,-0.13937604
2025-01-23,-0.13967076,-0.13967076,-0.03174444,0.01061515,none,False,0.00448412,none,False,0.00000000,none,False,0.21830683,-0.13967076
2025-01-24,-0.13981319,-0.13981319,-0.18594605,0.00345010,none,False,0.00448045,none,False,0.00000000,none,False,0.22360588,-0.13981319
2025-01-27,-0.13829607,0.22100150,0.08549730,0.99991601,high,True,0.00447645,none,False,0.00000000,none,False,0.22100150,-0.13829607
2025-01-28,-0.09944022,0.12443634,-0.04187562,0.99999606,high,True,0.00447766,none,False,0.00000000,none,False,0.12443634,-0.09944022
2025-01-29,-0.09928977,0.11915182,0.00765055,0.99998535,high,True,0.00447496,none,False,0.00000000,none,False,0.11915182,-0.09928977
2025-01-30,-0.09892759,0.12013574,-0.03743496,0.99997607,high,True,0.00447185,none,False,0.00000000,none,False,0.12013574,-0.09892759
2025-01-31,0.09968735,0.09968735,-0.02881111,0.00000000,none,False,0.00526308,none,False,0.00000000,none,False,0.12323134,0.09968735
2025-02-03,-0.09962546,0.12454216,0.01691414,0.99998777,high,True,0.00458837,none,False,0.00000000,none,False,0.12454216,-0.09962546
2025-02-04,0.09912852,0.09912852,0.05077491,0.00000000,none,False,0.00528243,none,False,0.00000000,none,False,0.12659196,0.09912852
2025-02-05,-0.09963335,0.12955269,0.03037584,0.99999367,high,True,0.00459279,none,False,0.00000000,none,False,0.12955269,-0.09963335
2025-02-06,-0.09983129,0.12938443,0.00897424,0.99998787,high,True,0.00448806,none,False,0.00000000,none,False,0.12938443,-0.09983129
2025-02-07,-0.09905114,0.13150352,0.02832285,0.99993731,high,True,0.00446658,none,False,0.00000000,none,False,0.13150352,-0.09905114
2025-02-10,0.09994404,0.09994404,-0.00578143,0.00000000,none,False,0.00521163,none,False,0.00000000,none,False,0.13483114,0.09994404
2025-02-11,0.09880943,0.09880943,-0.01257877,0.00000000,none,False,0.00545419,none,False,0.00000000,none,False,0.13710853,0.09880943
2025-02-12,0.09956738,0.09956738,0.03115502,0.00000000,none,False,0.00554638,none,False,0.00000000,none,False,0.14057156,0.09956738
2025-02-13,-0.09963375,0.14383553,0.02597373,0.99996606,high,True,0.00463987,none,False,0.00000000,none,False,0.14383553,-0.09963375
2025-02-14,-0.09872934,0.14574682,0.00395328,0.99995543,high,True,0.00449472,none,False,0.00000000,none,False,0.14574682,-0.09872934
2025-02-18,-0.09993925,0.14821783,-0.00122042,0.99993258,high,True,0.00446415,none,False,0.00000000,none,False,0.14821783,-0.09993925
2025-02-19,0.09894158,0.09894158,0.00630061,0.00000000,none,False,0.00512658,none,False,0.00000000,none,False,0.15201708,0.09894158
2025-02-20,0.09882093,0.09882093,-0.04138426,0.00000000,none,False,0.00534107,none,False,0.00000000,none,False,0.15590375,0.09882093
2025-02-21,0.09944551,0.09944551,-0.03135749,0.00000000,none,False,0.00541775,none,False,0.00000000,none,False,0.15983085,0.09944551
2025-02-24,0.09944561,0.09944561,-0.02841664,0.00000000,none,False,0.00543013,none,False,0.00000000,none,False,0.15898050,0.09944561
2025-02-25,0.09898037,0.09898037,0.03606305,0.00000000,none,False,0.00540617,none,False,0.00000000,none,False,0.16014523,0.09898037
2025-02-26,0.09873905,0.09873905,-0.08859151,0.00000000,none,False,0.00536128,none,False,0.00000000,none,False,0.16177067,0.09873905
2025-02-27,0.09974012,0.09974012,0.03893259,0.00000000,none,False,0.00533288,none,False,0.00000000,none,False,0.16246794,0.09974012
2025-02-28,-0.09969184,-0.09969184,-0.09094893,0.06981724,none,False,0.00460458,none,False,0.00000000,none,False,0.14678084,-0.09969184
2025-03-03,-0.09990327,-0.09990327,0.01677935,0.11285700,none,False,0.00448923,none,False,0.00000000,none,False,0.14755567,-0.09990327
2025-03-04,-0.09919969,-0.09919969,0.01123077,0.01522917,none,False,0.00446639,none,False,0.00000000,none,False,0.13534009,-0.09919969
2025-03-05,-0.09971872,-0.09971872,-0.05908591,0.00267672,none,False,0.00446011,none,False,0.00000000,none,False,0.13844324,-0.09971872
2025-03-06,-0.09967234,-0.09967234,0.01899191,0.00700144,none,False,0.00445698,none,False,0.00000000,none,False,0.14184866,-0.09967234
2025-03-07,-0.09948040,-0.09948040,-0.05199871,0.00220700,none,False,0.00445444,none,False,0.00000000,none,False,0.13878533,-0.09948040
2025-03-10,-0.09913472,-0.09913472,0.01650167,0.00377073,none,False,0.00445194,none,False,0.00000000,none,False,0.14180426,-0.09913472
2025-03-11,-0.09945881,-0.09945881,0.06229466,0.00214177,none,False,0.00444950,none,False,0.00000000,none,False,0.14015023,-0.09945881
2025-03-12,-0.09893919,-0.09893919,-0.00138339,0.01263767,none,False,0.00444707,none,False,0.00000000,none,False,0.14333882,-0.09893919
2025-03-13,-0.09951295,-0.09951295,0.05134950,0.00643127,none,False,0.00444472,none,False,0.00000000,none,False,0.13999221,-0.09951295
2025-03-14,-0.09937538,-0.09937538,-0.01774508,0.02415769,none,False,0.00444238,none,False,0.00000000,none,False,0.14360003,-0.09937538
2025-03-17,-0.09974589,-0.09974589,-0.03490313,0.01660695,none,False,0.00444009,none,False,0.00000000,none,False,0.14242487,-0.09974589
2025-03-18,-0.09918653,-0.09918653,0.01794425,0.01575588,none,False,0.00443780,none,False,0.00000000,none,False,0.14538002,-0.09918653
2025-03-19,-0.09924641,-0.09924641,0.00855753,0.01373401,none,False,0.00443556,none,False,0.00000000,none,False,0.14640686,-0.09924641
2025-03-20,-0.09986846,-0.09986846,-0.00702707,0.01246781,none,False,0.00443339,none,False,0.00000000,none,False,0.14958288,-0.09986846
