,size_M5,size_M8,r_next,ram_score,ram_severity,ram_flag,psa_score,psa_severity,psa_flag,gso_score,gso_severity,gso_flag,gso_bound,gso_bounded_size
2024-10-01,-0.09929780,-0.09929780,-0.00215454,0.00006292,none,False,0.00000000,none,False,0.00000000,none,False,0.15999751,-0.09929780
2024-10-02,-0.09961560,-0.09961560,0.01697557,0.00005085,none,False,0.00000000,none,False,0.00000000,none,False,0.16143709,-0.09961560
2024-10-03,-0.09940120,-0.09940120,0.00581477,0.00004956,none,False,0.00000000,none,False,0.00000000,none,False,0.16286639,-0.09940120
2024-10-04,-0.09959400,-0.09959400,0.00604310,0.00004161,none,False,0.00000000,none,False,0.00000000,none,False,0.16382690,-0.09959400
2024-10-07,-0.09941590,-0.09941590,0.02866193,0.00003996,none,False,0.00000000,none,False,0.00000000,none,False,0.16515750,-0.09941590
2024-10-08,-0.09925500,-0.09925500,-0.01500314,0.00005111,none,False,0.00000000,none,False,0.00000000,none,False,0.16645080,-0.09925500
2024-10-09,-0.09978390,-0.09978390,-0.00038766,0.00004605,none,False,0.00805408,medium,True,0.00000000,none,False,0.16642449,-0.09978390
2024-10-10,-0.09984600,-0.09984600,0.01284209,0.00004499,none,False,0.00724054,medium,True,0.00000000,none,False,0.16736470,-0.09984600
2024-10-11,-0.09980730,-0.09980730,-0.02598223,0.00006801,none,False,0.00673320,medium,True,0.00000000,none,False,0.16866029,-0.09980730
2024-10-14,-0.09952990,-0.09952990,0.03310238,0.00008097,none,False,0.00638513,medium,True,0.00000000,none,False,0.16964195,-0.09952990
2024-10-15,-0.09926800,-0.09926800,-0.01750959,0.00006904,none,False,0.00613047,medium,True,0.00000000,none,False,0.16969058,-0.09926800
2024-10-16,-0.09945180,-0.09945180,-0.00789598,0.00005632,none,False,0.00593533,medium,True,0.00000000,none,False,0.16903493,-0.09945180
2024-10-17,-0.09927680,-0.09927680,0.03974543,0.00005807,none,False,0.00578053,medium,True,0.00000000,none,False,0.16974857,-0.09927680
2024-10-18,-0.09926550,-0.09926550,-0.03909583,0.00007491,none,False,0.00565437,medium,True,0.00000000,none,False,0.17086919,-0.09926550
