,size_M5,size_M8,r_next,ram_score,ram_severity,ram_flag,psa_score,psa_severity,psa_flag,gso_score,gso_severity,gso_flag,gso_bound,gso_bounded_size
2024-10-01,-0.09993600,0.11831532,0.03513386,0.87997009,high,True,0.00000000,none,False,0.00000000,none,False,0.11831532,-0.09993600
2024-10-02,-0.09975300,0.12277031,-0.01077212,0.90274403,high,True,0.00000000,none,False,0.00000000,none,False,0.12277031,-0.09975300
2024-10-03,-0.09996000,0.12608406,-0.00773137,0.82989195,high,True,0.00000000,none,False,0.00000000,none,False,0.12608406,-0.09996000
2024-10-04,-0.09972000,0.13217716,0.14660352,0.72456374,high,True,0.00000000,none,False,0.00000000,none,False,0.13217716,-0.09972000
2024-10-07,-0.09977660,0.13859160,-0.05135951,0.99999477,high,True,0.00000000,none,False,0.00000000,none,False,0.13859160,-0.09977660
2024-10-08,-0.09977660,0.09963138,0.04188873,0.99967181,high,True,0.00000000,none,False,0.00145759,none,False,0.09963138,-0.09963138
2024-10-09,-0.09977000,0.10138318,-0.01749191,0.99976373,high,True,0.00805405,medium,True,0.00000000,none,False,0.10138318,-0.09977000
2024-10-10,-0.09978190,0.10448078,0.02821865,0.99798462,high,True,0.00724053,medium,True,0.00000000,none,False,0.10448078,-0.09978190
2024-10-11,-0.09991050,0.10964467,-0.00861440,0.99861608,high,True,0.00673318,medium,True,0.00000000,none,False,0.10964467,-0.09991050
2024-10-14,-0.09990200,0.11414527,0.00777721,0.99759081,high,True,0.00638510,low,False,0.00000000,none,False,0.11414527,-0.09990200
2024-10-15,-0.09999290,0.12004300,0.02051676,0.99729127,high,True,0.00613043,low,False,0.00000000,none,False,0.12004300,-0.09999290
2024-10-16,-0.09981840,0.12621845,-0.02408254,0.99733456,high,True,0.00593531,low,False,0.00000000,none,False,0.12621845,-0.09981840
2024-10-17,-0.09993750,0.13158821,-0.00695842,0.99780673,high,True,0.00578051,low,False,0.00000000,none,False,0.13158821,-0.09993750
2024-10-18,-0.09993900,0.13621241,0.01136139,0.99756820,high,True,0.00565434,low,False,0.00000000,none,False,0.13621241,-0.09993900
2024-10-21,-0.09971860,0.14275539,-0.03903659,0.99612341,high,True,0.00554928,low,False,0.00000000,none,False,0.14275539,-0.09971860
2024-10-22,-0.09990200,0.14921087,-0.01335836,0.99813471,high,True,0.00546021,low,False,0.00000000,none,False,0.14921087,-0.09990200
2024-10-23,-0.09975490,0.14913466,0.01899826,0.99744077,high,True,0.00538362,low,False,0.00000000,none,False,0.14913466,-0.09975490
2024-10-24,-0.09979200,0.15521871,0.02224693,0.99785870,high,True,0.00531692,low,False,0.00000000,none,False,0.15521871,-0.09979200
2024-10-25,-0.09985680,0.16061634,0.00947477,0.83731854,high,True,0.00525823,low,False,0.00000000,none,False,0.16061634,-0.09985680
2024-10-28,-0.09973970,-0.09973970,0.02891564,0.37776952,low,False,0.00520611,low,False,0.00000000,none,False,0.16516910,-0.09973970
2024-10-29,-0.09973480,-0.09973480,-0.39563974,0.10380792,none,False,0.00515946,none,False,0.00000000,none,False,0.17194481,-0.09973480
2024-10-30,-0.09971360,0.17379308,-0.12754474,1.00000000,high,True,0.00511742,none,False,0.00000000,none,False,0.17379308,-0.09971360
2024-10-31,-0.09987140,0.04844546,-0.11106404,1.00000000,high,True,0.00507929,none,False,1.06152219,none,False,0.04844546,-0.04844546
2024-11-01,-0.09984730,0.04878164,-0.00076799,1.00000000,high,True,0.00504452,none,False,1.04682119,none,False,0.04878164,-0.04878164
2024-11-04,-0.09977150,0.04968566,0.06218270,1.00000000,high,True,0.00501266,none,False,1.00805425,none,False,0.04968566,-0.04968566
2024-11-05,-0.09995520,0.05269473,-0.19906748,1.00000000,high,True,0.00498333,none,False,0.89687270,none,False,0.05269473,-0.05269473
2024-11-06,-0.09999700,0.05506784,0.11552885,1.00000000,high,True,0.00495623,none,False,0.81588745,none,False,0.05506784,-0.05506784
2024-11-07,-0.09988000,0.05038156,-0.03840468,1.00000000,high,True,0.00493110,none,False,0.98247125,none,False,0.05038156,-0.05038156
2024-11-08,-0.09988160,0.05107306,-0.05404460,1.00000000,high,True,0.00490771,none,False,0.95566099,none,False,0.05107306,-0.05107306
2024-11-11,-0.09979640,0.05385621,-0.06813223,1.00000000,high,True,0.00488588,none,False,0.85301579,none,False,0.05385621,-0.05385621
2024-11-12,-0.09988900,0.05640911,-0.06521467,1.00000000,high,True,0.00486544,none,False,0.77079535,none,False,0.05640911,-0.05640911
2024-11-13,-0.09982000,0.05855752,-0.12117045,1.00000000,high,True,0.00484626,none,False,0.70464888,none,False,0.05855752,-0.05855752
2024-11-14,-0.09982030,0.06079289,0.03115856,1.00000000,high,True,0.00482822,none,False,0.64197335,none,False,0.06079289,-0.06079289
