,size_M5,size_M8,r_next,ram_score,ram_severity,ram_flag,psa_score,psa_severity,psa_flag,gso_score,gso_severity,gso_flag,gso_bound,gso_bounded_size
2024-10-01,-0.14091472,-0.14091472,0.00042199,0.00491658,none,False,0.00000000,none,False,0.00000000,none,False,0.92207909,-0.14091472
2024-10-02,-0.19551326,-0.19551326,-0.00182996,0.17757723,none,False,0.00000000,none,False,0.00000000,none,False,0.85337358,-0.19551326
2024-10-03,-0.19559576,0.90125586,0.00904623,0.65541398,medium,True,0.00000000,none,False,0.00000000,none,False,0.90125586,-0.19559576
2024-10-04,-0.19523818,0.94044413,-0.00908146,0.88289817,high,True,0.00000000,none,False,0.00000000,none,False,0.94044413,-0.19523818
2024-10-07,-0.19701238,0.90011227,0.00941310,0.98606406,high,True,0.00000000,none,False,0.00000000,none,False,0.90011227,-0.19701238
2024-10-08,-0.19523132,0.83655659,0.00690258,0.99832243,high,True,0.00000000,none,False,0.00000000,none,False,0.83655659,-0.19523132
2024-10-09,0.19707771,0.19707771,-0.00175149,0.00000406,none,False,0.00877292,none,False,0.00000000,none,False,0.81294981,0.19707771
2024-10-10,-0.19844276,0.82514219,0.00597041,0.99951630,high,True,0.00764623,none,False,0.00000000,none,False,0.82514219,-0.19844276
2024-10-11,-0.19809549,0.86523705,0.00814497,0.99953904,high,True,0.00700863,none,False,0.00000000,none,False,0.86523705,-0.19809549
2024-10-14,-0.19358796,0.88343067,-0.00779997,0.99931383,high,True,0.00659088,none,False,0.00000000,none,False,0.88343067,-0.19358796
2024-10-15,-0.19517119,0.87024958,0.00433697,0.99829260,high,True,0.00629507,none,False,0.00000000,none,False,0.87024958,-0.19517119
2024-10-16,0.00000000,0.00000000,0.00008599,0.00000000,none,False,0.00618771,none,False,0.00000000,none,False,0.83713450,0.00000000
2024-10-17,-0.19449650,0.87183074,0.00383899,0.99929285,high,True,0.00595534,none,False,0.00000000,none,False,0.87183074,-0.19449650
2024-10-18,-0.19451318,0.91960120,-0.00164345,0.99979400,high,True,0.00579772,none,False,0.00000000,none,False,0.91960120,-0.19451318
2024-10-21,-0.19526137,0.95652902,-0.00053123,0.99979338,high,True,0.00567520,none,False,0.00000000,none,False,0.95652902,-0.19526137
2024-10-22,-0.19494071,0.99628484,-0.00917953,0.99980300,high,True,0.00557387,none,False,0.00000000,none,False,0.99628484,-0.19494071
2024-10-23,-0.19483718,1.00000000,0.00216028,0.99905053,high,True,0.00548781,none,False,0.00000000,none,False,1.00000000,-0.19483718
2024-10-24,-0.19873499,0.92790829,-0.00034544,0.99967925,high,True,0.00541520,none,False,0.00000000,none,False,0.92790829,-0.19873499
2024-10-25,-0.24468821,0.97508654,0.00308687,0.99969887,high,True,0.00538011,none,False,0.00000000,none,False,0.97508654,-0.24468821
2024-10-28,-0.24460370,1.00000000,0.00161687,0.99969726,high,True,0.00533185,none,False,0.00000000,none,False,1.00000000,-0.24460370
2024-10-29,-0.24535988,1.00000000,-0.00302971,0.99972101,high,True,0.00528325,none,False,0.00000000,none,False,1.00000000,-0.24535988
2024-10-30,-0.24575699,1.00000000,-0.01979786,0.99977959,high,True,0.00523688,none,False,0.00000000,none,False,1.00000000,-0.24575699
2024-10-31,-0.24501350,1.00000000,0.00421168,0.86775776,high,True,0.00519282,none,False,0.00000000,none,False,1.00000000,-0.24501350
2024-11-01,-0.24579680,0.69057275,-0.00215634,0.98018301,high,True,0.00515304,none,False,0.00000000,none,False,0.69057275,-0.24579680
2024-11-04,-0.24683417,0.72642945,0.01201919,0.99702714,high,True,0.00511717,none,False,0.00000000,none,False,0.72642945,-0.24683417
2024-11-05,-0.24630249,0.76393000,0.02456168,0.99390398,high,True,0.00508330,none,False,0.00000000,none,False,0.76393000,-0.24630249
2024-11-06,0.24928071,0.24928071,0.00770222,0.00589589,none,False,0.00696999,none,False,0.00000000,none,False,0.72069183,0.24928071
2024-11-07,0.24967287,0.24967287,0.00432249,0.00119702,none,False,0.00819576,none,False,0.00000000,none,False,0.53345068,0.24967287
2024-11-08,0.24575214,0.24575214,0.00095237,0.00067699,none,False,0.00891099,none,False,0.00000000,none,False,0.55552460,0.24575214
2024-11-11,0.24681665,0.24681665,-0.00311118,0.00061291,none,False,0.00932856,none,False,0.00000000,none,False,0.58813904,0.24681665
2024-11-12,-0.02352875,-0.02352875,0.00048555,0.02103437,none,False,0.00664176,none,False,0.00000000,none,False,0.62631729,-0.02352875
2024-11-13,0.24628442,0.24628442,-0.00645078,0.00069029,none,False,0.00710447,none,False,0.00000000,none,False,0.65887091,0.24628442
2024-11-14,0.24640408,0.24640408,-0.01289134,0.00074985,none,False,0.00726820,none,False,0.00000000,none,False,0.70025026,0.24640408
2024-11-15,0.24481965,0.24481965,0.00408901,0.00095154,none,False,0.00728811,none,False,0.00000000,none,False,0.71028476,0.24481965
2024-11-18,-0.24743826,-0.24743826,0.00364882,0.00442036,none,False,0.00588805,none,False,0.00000000,none,False,0.64962913,-0.24743826
2024-11-19,0.24845208,0.24845208,0.00033864,0.00055964,none,False,0.00648632,none,False,0.00000000,none,False,0.68529545,0.24845208
2024-11-20,-0.24936024,-0.24936024,0.00535409,0.00531949,none,False,0.00564696,none,False,0.00000000,none,False,0.72316938,-0.24936024
2024-11-21,-0.24944475,-0.24944475,0.00309449,0.00808544,none,False,0.00540745,none,False,0.00000000,none,False,0.76703147,-0.24944475
2024-11-22,0.24495172,0.24495172,0.00338641,0.00060074,none,False,0.00612773,none,False,0.00000000,none,False,0.79591698,0.24495172
2024-11-25,-0.24571087,-0.24571087,0.00520800,0.01059696,none,False,0.00553355,none,False,0.00000000,none,False,0.83779361,-0.24571087
2024-11-26,-0.24654436,-0.24654436,-0.00303476,0.00900616,none,False,0.00535774,none,False,0.00000000,none,False,0.87859622,-0.24654436
