,size_M5,size_M8,r_next,ram_score,ram_severity,ram_flag,psa_score,psa_severity,psa_flag,gso_score,gso_severity,gso_flag,gso_bound,gso_bounded_size
2024-10-01,-0.09941940,-0.09941940,-0.03550383,0.00222727,none,False,0.00000000,none,False,0.00000000,none,False,0.17788163,-0.09941940
2024-10-02,-0.09804760,-0.09804760,-0.03414807,0.00366014,none,False,0.00000000,none,False,0.00000000,none,False,0.18086184,-0.09804760
2024-10-03,-0.09960800,-0.09960800,0.03839571,0.00415004,none,False,0.00000000,none,False,0.00000000,none,False,0.17999928,-0.09960800
2024-10-04,-0.09867060,-0.09867060,-0.03768958,0.00413102,none,False,0.00000000,none,False,0.00000000,none,False,0.17951343,-0.09867060
2024-10-07,-0.09753120,-0.09753120,0.01512401,0.00390840,none,False,0.00000000,none,False,0.00000000,none,False,0.17872779,-0.09753120
2024-10-08,-0.09874030,-0.09874030,-0.01421092,0.00662408,none,False,0.00000000,none,False,0.00000000,none,False,0.17748040,-0.09874030
2024-10-09,-0.09780000,-0.09780000,-0.00950363,0.01701371,none,False,0.00805423,medium,True,0.00000000,none,False,0.18061741,-0.09780000
2024-10-10,-0.09883050,-0.09883050,-0.09192354,0.02204593,none,False,0.00724065,low,False,0.00000000,none,False,0.18354815,-0.09883050
2024-10-11,-0.09789570,-0.09789570,0.00622485,0.02149642,none,False,0.00673332,low,False,0.00000000,none,False,0.18691575,-0.09789570
2024-10-14,-0.09801000,-0.09801000,0.00186905,0.00473575,none,False,0.00638523,low,False,0.00000000,none,False,0.16374043,-0.09801000
2024-10-15,-0.09862200,-0.09862200,0.00798369,0.00274485,none,False,0.00613053,low,False,0.00000000,none,False,0.16731258,-0.09862200
2024-10-16,-0.09880650,-0.09880650,-0.00198997,0.00261007,none,False,0.00593538,low,False,0.00000000,none,False,0.17098282,-0.09880650
2024-10-17,-0.09959850,-0.09959850,-0.00086054,0.00253843,none,False,0.00578056,low,False,0.00000000,none,False,0.17456040,-0.09959850
2024-10-18,-0.09940050,-0.09940050,-0.00841771,0.00290329,none,False,0.00565438,low,False,0.00000000,none,False,0.17826242,-0.09940050
2024-10-21,-0.09931500,-0.09931500,-0.00402915,0.00333404,none,False,0.00554931,low,False,0.00000000,none,False,0.18201440,-0.09931500
2024-10-22,-0.09848250,-0.09848250,-0.02001831,0.02127239,none,False,0.00546027,low,False,0.00000000,none,False,0.18546324,-0.09848250
2024-10-23,-0.09808650,-0.09808650,0.19818699,0.03701764,none,False,0.00538368,low,False,0.00000000,none,False,0.18917024,-0.09808650
2024-10-24,-0.09827900,0.19117750,0.03289133,1.00000000,high,True,0.00531698,low,False,0.00000000,none,False,0.19117750,-0.09827900
2024-10-25,-0.09898240,0.11961047,-0.02512825,0.99999998,high,True,0.00525827,none,False,0.00000000,none,False,0.11961047,-0.09898240
2024-10-28,-0.09960030,0.12156514,-0.01145549,0.99999998,high,True,0.00520614,none,False,0.00000000,none,False,0.12156514,-0.09960030
2024-10-29,-0.09975380,0.12381058,-0.00761990,0.99999998,high,True,0.00515948,none,False,0.00000000,none,False,0.12381058,-0.09975380
2024-10-30,-0.09861760,0.12666718,-0.03035307,0.99999998,high,True,0.00511745,none,False,0.00000000,none,False,0.12666718,-0.09861760
2024-10-31,-0.09786900,0.12966462,-0.00348821,0.99999998,high,True,0.00507935,none,False,0.00000000,none,False,0.12966462,-0.09786900
2024-11-01,-0.09994000,0.13150257,-0.02496978,0.99999994,high,True,0.00504454,none,False,0.00000000,none,False,0.13150257,-0.09994000
2024-11-04,-0.09959200,0.13465088,0.03480163,0.99999990,high,True,0.00501268,none,False,0.00000000,none,False,0.13465088,-0.09959200
2024-11-05,-0.09956440,0.13686794,0.13759466,0.99999990,high,True,0.00498335,none,False,0.00000000,none,False,0.13686794,-0.09956440
2024-11-06,-0.09806160,0.13844179,0.02863001,1.00000000,high,True,0.00495628,none,False,0.00000000,none,False,0.13844179,-0.09806160
2024-11-07,-0.09810020,0.11896041,0.07869718,1.00000000,high,True,0.00493115,none,False,0.00000000,none,False,0.11896041,-0.09810020
2024-11-08,-0.09798030,0.12116881,0.08580690,1.00000000,high,True,0.00490776,none,False,0.00000000,none,False,0.12116881,-0.09798030
2024-11-11,-0.09957820,0.11819023,-0.06342679,1.00000000,high,True,0.00488590,none,False,0.00000000,none,False,0.11819023,-0.09957820
2024-11-12,-0.09800000,0.11457804,0.00531327,1.00000000,high,True,0.00486549,none,False,0.00000000,none,False,0.11457804,-0.09800000
2024-11-13,-0.09854700,0.11379255,-0.05944813,1.00000000,high,True,0.00484630,none,False,0.00000000,none,False,0.11379255,-0.09854700
2024-11-14,-0.09907200,0.11663656,0.03019697,1.00000000,high,True,0.00482824,none,False,0.00000000,none,False,0.11663656,-0.09907200
2024-11-15,-0.09957760,0.11613646,0.05466435,1.00000000,high,True,0.00481122,none,False,0.00000000,none,False,0.11613646,-0.09957760
2024-11-18,-0.09942320,0.11826066,0.02120595,1.00000000,high,True,0.00479515,none,False,0.00000000,none,False,0.11826066,-0.09942320
2024-11-19,-0.09823460,0.11845803,-0.01154033,1.00000000,high,True,0.00477995,none,False,0.00000000,none,False,0.11845803,-0.09823460
2024-11-20,-0.09688000,0.12101296,-0.00701217,1.00000000,high,True,0.00476557,none,False,0.00000000,none,False,0.12101296,-0.09688000
2024-11-21,-0.09918870,0.12382842,0.03733454,1.00000000,high,True,0.00475181,none,False,0.00000000,none,False,0.12382842,-0.09918870
2024-11-22,-0.09849560,0.12679380,-0.04043089,0.99999397,high,True,0.00473877,none,False,0.00000000,none,False,0.12679380,-0.09849560
2024-11-25,-0.09871680,0.12833063,-0.00106376,0.99999880,high,True,0.00472634,none,False,0.00000000,none,False,0.12833063,-0.09871680
2024-11-26,-0.09819110,0.12927271,-0.01591402,0.99999599,high,True,0.00471449,none,False,0.00000000,none,False,0.12927271,-0.09819110
2024-11-27,-0.09808670,0.13240802,0.03619594,0.99999677,high,True,0.00470316,none,False,0.00000000,none,False,0.13240802,-0.09808670
2024-11-29,-0.09986700,0.13518473,0.03397975,0.99999772,high,True,0.00469230,none,False,0.00000000,none,False,0.13518473,-0.09986700
2024-12-02,-0.09664480,0.13665528,-0.01600571,0.99999281,high,True,0.00468198,none,False,0.00000000,none,False,0.13665528,-0.09664480
2024-12-03,-0.09998520,0.13831416,0.01835529,0.99999400,high,True,0.00467197,none,False,0.00000000,none,False,0.13831416,-0.09998520
2024-12-04,-0.09839760,0.14112365,0.03178623,0.99998206,high,True,0.00466241,none,False,0.00000000,none,False,0.14112365,-0.09839760
2024-12-05,-0.09664110,0.14397524,0.05202109,0.99998414,high,True,0.00465328,none,False,0.00000000,none,False,0.14397524,-0.09664110
2024-12-06,-0.09976230,0.14572012,0.00146341,0.98977472,high,True,0.00464438,none,False,0.00000000,none,False,0.14572012,-0.09976230
2024-12-09,-0.09730500,0.14456090,0.02832831,0.97175286,high,True,0.00463591,none,False,0.00000000,none,False,0.14456090,-0.09730500
2024-12-10,-0.09744750,0.14794829,0.05761136,0.86803770,high,True,0.00462771,none,False,0.00000000,none,False,0.14794829,-0.09744750
2024-12-11,-0.09623760,0.14998904,-0.01582717,0.63371443,medium,True,0.00461985,none,False,0.00000000,none,False,0.14998904,-0.09623760
2024-12-12,-0.09769710,-0.09769710,0.04244900,0.10006842,none,False,0.00461217,none,False,0.00000000,none,False,0.14740514,-0.09769710
2024-12-13,-0.09616300,-0.09616300,0.05960057,0.01477927,none,False,0.00460485,none,False,0.00000000,none,False,0.15026183,-0.09616300
2024-12-16,-0.09597060,-0.09597060,0.03572414,0.00675472,none,False,0.00459774,none,False,0.00000000,none,False,0.15039703,-0.09597060
2024-12-17,-0.09723420,-0.09723420,-0.08642422,0.00422883,none,False,0.00459080,none,False,0.00000000,none,False,0.14735986,-0.09723420
2024-12-18,-0.09597200,-0.09597200,-0.00903804,0.02875175,none,False,0.00458417,none,False,0.00000000,none,False,0.14856551,-0.09597200
2024-12-19,-0.09682860,-0.09682860,-0.03525677,0.01005452,none,False,0.00457767,none,False,0.00000000,none,False,0.13871784,-0.09682860
2024-12-20,-0.09595740,-0.09595740,0.02240426,0.01332839,none,False,0.00457144,none,False,0.00000000,none,False,0.14184066,-0.09595740
2024-12-23,-0.09684380,-0.09684380,0.07099117,0.01185546,none,False,0.00456533,none,False,0.00000000,none,False,0.14292333,-0.09684380
2024-12-24,-0.09903800,-0.09903800,-0.01778725,0.09320289,none,False,0.00455938,none,False,0.00000000,none,False,0.14551635,-0.09903800
2024-12-26,-0.09707880,-0.09707880,-0.05074526,0.05038058,none,False,0.00455368,none,False,0.00000000,none,False,0.14065780,-0.09707880
2024-12-27,-0.09990860,-0.09990860,-0.03356929,0.19398568,none,False,0.00454810,none,False,0.00000000,none,False,0.14337057,-0.09990860
2024-12-30,-0.09928180,0.14212560,-0.03305021,0.49712493,medium,True,0.00454269,none,False,0.00000000,none,False,0.14212560,-0.09928180
2024-12-31,-0.09600430,0.14339962,-0.06274404,0.85446944,high,True,0.00453750,none,False,0.00000000,none,False,0.14339962,-0.09600430
2025-01-02,-0.09692160,0.14469909,0.07895505,0.99746685,high,True,0.00453236,none,False,0.00000000,none,False,0.14469909,-0.09692160
2025-01-03,-0.09861280,0.14108861,0.00148507,0.99998435,high,True,0.00452734,none,False,0.00000000,none,False,0.14108861,-0.09861280
2025-01-06,-0.09850560,0.13519264,-0.04145067,0.99991905,high,True,0.00452249,none,False,0.00000000,none,False,0.13519264,-0.09850560
2025-01-07,-0.09865200,0.13843525,0.00146970,0.99997776,high,True,0.00451776,none,False,0.00000000,none,False,0.13843525,-0.09865200
2025-01-08,-0.09859000,0.13887196,-0.00050657,0.99984822,high,True,0.00451316,none,False,0.00000000,none,False,0.13887196,-0.09859000
2025-01-10,-0.09873500,0.14217327,0.02147820,0.99984762,high,True,0.00450866,none,False,0.00000000,none,False,0.14217327,-0.09873500
2025-01-13,-0.09868500,0.14551879,-0.01738264,0.99983726,high,True,0.00450429,none,False,0.00000000,none,False,0.14551879,-0.09868500
2025-01-14,-0.09679440,0.14817739,0.07731423,0.99901576,high,True,0.00450005,none,False,0.00000000,none,False,0.14817739,-0.09679440
2025-01-15,-0.09909000,0.15092732,-0.03420597,0.99999186,high,True,0.00449584,none,False,0.00000000,none,False,0.15092732,-0.09909000
2025-01-16,-0.09849060,0.14369146,0.03018125,0.99995619,high,True,0.00449177,none,False,0.00000000,none,False,0.14369146,-0.09849060
2025-01-17,-0.09931680,0.14484403,-0.00571381,0.99976491,high,True,0.00448779,none,False,0.00000000,none,False,0.14484403,-0.09931680
2025-01-21,-0.09809500,0.14674105,-0.02135504,0.99927068,high,True,0.00448390,none,False,0.00000000,none,False,0.14674105,-0.09809500
2025-01-22,-0.09753610,0.15006295,-0.00659824,0.98569534,high,True,0.00448011,none,False,0.00000000,none,False,0.15006295,-0.09753610
2025-01-23,-0.09962640,0.15248177,-0.01416459,0.97775300,high,True,0.00447638,none,False,0.00000000,none,False,0.15248177,-0.09962640
2025-01-24,-0.09897120,0.15584199,-0.02346665,0.96345169,high,True,0.00447274,none,False,0.00000000,none,False,0.15584199,-0.09897120
2025-01-27,-0.09757920,0.15883163,0.00236407,0.95444435,high,True,0.00446919,none,False,0.00000000,none,False,0.15883163,-0.09757920
2025-01-28,-0.09928750,0.16093489,-0.02284171,0.69633898,medium,True,0.00446570,none,False,0.00000000,none,False,0.16093489,-0.09928750
2025-01-29,-0.09952250,-0.09952250,0.02832790,0.31994056,low,False,0.00446229,none,False,0.00000000,none,False,0.16453428,-0.09952250
2025-01-30,-0.09727500,-0.09727500,0.01073464,0.08529586,none,False,0.00445897,none,False,0.00000000,none,False,0.16662114,-0.09727500
2025-01-31,-0.09606720,-0.09606720,-0.05309009,0.01485998,none,False,0.00445575,none,False,0.00000000,none,False,0.16830652,-0.09606720
2025-02-03,-0.09710400,-0.09710400,0.02198854,0.01404163,none,False,0.00445251,none,False,0.00000000,none,False,0.17173930,-0.09710400
2025-02-04,-0.09975680,-0.09975680,-0.03645352,0.00372600,none,False,0.00444934,none,False,0.00000000,none,False,0.16705886,-0.09975680
