,size_M5,size_M8,r_next,ram_score,ram_severity,ram_flag,psa_score,psa_severity,psa_flag,gso_score,gso_severity,gso_flag,gso_bound,gso_bounded_size
2024-10-01,-0.13178310,-0.13178310,0.00244045,0.00000000,none,False,0.00000000,none,False,0.00000000,none,False,0.19823876,-0.13178310
2024-10-02,-0.13194221,-0.13194221,0.01631952,0.00000000,none,False,0.00000000,none,False,0.00000000,none,False,0.20529582,-0.13194221
2024-10-03,-0.13193640,-0.13193640,-0.04537877,0.00000000,none,False,0.00000000,none,False,0.00000000,none,False,0.21253856,-0.13193640
2024-10-04,-0.13193880,-0.13193880,-0.03576368,0.00000000,none,False,0.00000000,none,False,0.00000000,none,False,0.21733742,-0.13193880
2024-10-07,-0.13118620,-0.13118620,-0.00848847,0.00000000,none,False,0.00000000,none,False,0.00000000,none,False,0.20770458,-0.13118620
2024-10-08,-0.13088380,-0.13088380,-0.02590649,0.00000000,none,False,0.00000000,none,False,0.00000000,none,False,0.20535698,-0.13088380
2024-10-09,-0.13267500,-0.13267500,0.01800652,0.00000000,none,False,0.00804959,low,False,0.00000000,none,False,0.21223564,-0.13267500
2024-10-10,-0.13240260,-0.13240260,-0.02205234,0.00000000,none,False,0.00723688,low,False,0.00000000,none,False,0.21425526,-0.13240260
2024-10-11,-0.13405180,-0.13405180,-0.05628442,0.00000000,none,False,0.00673004,low,False,0.00000000,none,False,0.21847456,-0.13405180
2024-10-14,-0.13408800,-0.13408800,0.00142860,0.00000000,none,False,0.00638235,low,False,0.00000000,none,False,0.22183711,-0.13408800
2024-10-15,-0.13276510,-0.13276510,-0.04153607,0.00000000,none,False,0.00612802,low,False,0.00000000,none,False,0.20292002,-0.13276510
2024-10-16,-0.13393560,-0.13393560,-0.00971964,0.00000000,none,False,0.00593310,low,False,0.00000000,none,False,0.21014940,-0.13393560
2024-10-17,-0.13319040,-0.13319040,-0.02126129,0.00000000,none,False,0.00577850,none,False,0.00000000,none,False,0.20423693,-0.13319040
2024-10-18,-0.13376550,-0.13376550,0.01674318,0.00000000,none,False,0.00565247,none,False,0.00000000,none,False,0.21092967,-0.13376550
2024-10-21,-0.13420900,-0.13420900,0.01869213,0.00000000,none,False,0.00554751,none,False,0.00000000,none,False,0.21479880,-0.13420900
2024-10-22,-0.13422250,-0.13422250,0.02342711,0.00000000,none,False,0.00545856,none,False,0.00000000,none,False,0.21943353,-0.13422250
2024-10-23,-0.13405500,-0.13405500,0.03554034,0.00000000,none,False,0.00538206,none,False,0.00000000,none,False,0.22328500,-0.13405500
2024-10-24,-0.13433040,-0.13433040,0.00903726,0.00000000,none,False,0.00531544,none,False,0.00000000,none,False,0.22493130,-0.13433040
2024-10-25,-0.13432160,-0.13432160,-0.07992735,0.00000000,none,False,0.00525682,none,False,0.00000000,none,False,0.21936205,-0.13432160
2024-10-28,-0.13481850,-0.13481850,0.00523363,0.00000000,none,False,0.00520475,none,False,0.00000000,none,False,0.22605152,-0.13481850
2024-10-29,-0.13206600,-0.13206600,-0.01351374,0.00000000,none,False,0.00515823,none,False,0.00000000,none,False,0.18532635,-0.13206600
2024-10-30,-0.13208850,-0.13208850,-0.04009786,0.00000000,none,False,0.00511625,none,False,0.00000000,none,False,0.19186056,-0.13208850
2024-10-31,-0.13230000,-0.13230000,-0.01826176,0.00000000,none,False,0.00507816,none,False,0.00000000,none,False,0.19776679,-0.13230000
2024-11-01,-0.13243820,-0.13243820,0.04542683,0.00000000,none,False,0.00504342,none,False,0.00000000,none,False,0.19433960,-0.13243820
2024-11-04,-0.13253760,-0.13253760,-0.04142841,0.00000000,none,False,0.00501159,none,False,0.00000000,none,False,0.19929565,-0.13253760
2024-11-05,-0.13151420,-0.13151420,0.02677327,0.00000000,none,False,0.00498234,none,False,0.00000000,none,False,0.19169372,-0.13151420
2024-11-06,-0.13093850,-0.13093850,-0.01645161,0.00000000,none,False,0.00495531,none,False,0.00000000,none,False,0.18836750,-0.13093850
