,size_M5,size_M8,r_next,ram_score,ram_severity,ram_flag,psa_score,psa_severity,psa_flag,gso_score,gso_severity,gso_flag,gso_bound,gso_bounded_size
2024-10-01,-0.19504035,0.46603035,0.01019281,0.92558661,high,True,0.00000000,none,False,0.00000000,none,False,0.46603035,-0.19504035
2024-10-02,-0.19434627,0.43990476,0.01748305,0.97138572,high,True,0.00000000,none,False,0.00000000,none,False,0.43990476,-0.19434627
2024-10-03,-0.19460749,0.44812514,0.00927232,0.97860876,high,True,0.00000000,none,False,0.00000000,none,False,0.44812514,-0.19460749
2024-10-04,-0.19407896,0.44034609,0.00353527,0.99175659,high,True,0.00000000,none,False,0.00000000,none,False,0.44034609,-0.19407896
2024-10-07,-0.19411014,0.44993446,-0.02643998,0.99778978,high,True,0.00000000,none,False,0.00000000,none,False,0.44993446,-0.19411014
2024-10-08,-0.19435183,0.46526227,0.00602114,0.91570079,high,True,0.00000000,none,False,0.00000000,none,False,0.46526227,-0.19435183
2024-10-09,0.19362180,0.19362180,0.00674424,0.00000000,none,False,0.00879649,low,False,0.00000000,none,False,0.42041610,0.19362180
2024-10-10,0.19391762,0.19391762,0.00616049,0.00000000,none,False,0.00839814,low,False,0.00000000,none,False,0.43362967,0.19391762
2024-10-11,-0.19391078,0.44630404,-0.00043103,0.99503998,high,True,0.00740875,none,False,0.00000000,none,False,0.44630404,-0.19391078
2024-10-14,-0.19378177,0.45961619,-0.03276121,0.99630341,high,True,0.00684596,none,False,0.00000000,none,False,0.45961619,-0.19378177
2024-10-15,-0.19369824,0.47578505,0.00477811,0.47186906,medium,True,0.00647547,none,False,0.00000000,none,False,0.47578505,-0.19369824
2024-10-16,0.09629554,0.09629554,0.00475538,0.00000000,none,False,0.00643020,none,False,0.00000000,none,False,0.40250332,0.09629554
2024-10-17,-0.19308345,-0.19308345,-0.00331528,0.11662643,none,False,0.00612674,none,False,0.00000000,none,False,0.41626859,-0.19308345
2024-10-18,-0.19313968,-0.19313968,-0.00299317,0.06357149,none,False,0.00594319,none,False,0.00000000,none,False,0.43029859,-0.19313968
2024-10-21,-0.19336171,-0.19336171,0.00232877,0.03702411,none,False,0.00580512,none,False,0.00000000,none,False,0.44459084,-0.19336171
2024-10-22,-0.19321317,-0.19321317,-0.00521972,0.03281900,none,False,0.00569254,none,False,0.00000000,none,False,0.45932132,-0.19321317
2024-10-23,-0.19323328,-0.19323328,-0.00011121,0.02669631,none,False,0.00559743,none,False,0.00000000,none,False,0.47534817,-0.19323328
2024-10-24,-0.19351167,-0.19351167,-0.00033423,0.06331525,none,False,0.00551540,none,False,0.00000000,none,False,0.48821723,-0.19351167
2024-10-25,-0.19349014,-0.19349014,-0.00636969,0.27463641,low,False,0.00544357,none,False,0.00000000,none,False,0.50505073,-0.19349014
2024-10-28,-0.19428134,0.52215222,-0.01536409,0.74704079,high,True,0.00538059,none,False,0.00000000,none,False,0.52215222,-0.19428134
2024-10-29,-0.19517386,0.53265549,0.00227439,0.87946200,high,True,0.00532474,none,False,0.00000000,none,False,0.53265549,-0.19517386
2024-10-30,-0.19554795,0.51479744,0.00622754,0.99191315,high,True,0.00527443,none,False,0.00000000,none,False,0.51479744,-0.19554795
2024-10-31,-0.19557349,0.53187547,-0.00634126,0.99896783,high,True,0.00522874,none,False,0.00000000,none,False,0.53187547,-0.19557349
2024-11-01,-0.19552834,0.54500475,0.01734285,0.99968315,high,True,0.00518711,none,False,0.00000000,none,False,0.54500475,-0.19552834
2024-11-04,-0.19597092,0.55500573,0.00667622,0.99902328,high,True,0.00514929,none,False,0.00000000,none,False,0.55500573,-0.19597092
2024-11-05,-0.19555641,0.53060658,0.03690608,0.99939487,high,True,0.00511424,none,False,0.00000000,none,False,0.53060658,-0.19555641
2024-11-06,-0.19557689,0.54298919,-0.00460646,0.90445753,high,True,0.00508204,none,False,0.00000000,none,False,0.54298919,-0.19557689
2024-11-07,-0.19400974,0.42342382,0.00663534,0.97335355,high,True,0.00505159,none,False,0.00000000,none,False,0.42342382,-0.19400974
2024-11-08,-0.19400597,0.43668278,0.00563743,0.99064845,high,True,0.00502378,none,False,0.00000000,none,False,0.43668278,-0.19400597
2024-11-11,-0.19440372,0.44947819,-0.00531748,0.99498124,high,True,0.00499819,none,False,0.00000000,none,False,0.44947819,-0.19440372
2024-11-12,-0.19415446,0.46330325,0.00775408,0.99544378,high,True,0.00497412,none,False,0.00000000,none,False,0.46330325,-0.19415446
2024-11-13,-0.19401890,0.47606711,0.00380189,0.99972162,high,True,0.00495159,none,False,0.00000000,none,False,0.47606711,-0.19401890
2024-11-14,0.04505280,0.04505280,-0.00147697,0.00000000,none,False,0.00523351,none,False,0.00000000,none,False,0.48736598,0.04505280
2024-11-15,-0.09723249,0.50313391,0.01321317,0.99980575,high,True,0.00501595,none,False,0.00000000,none,False,0.50313391,-0.09723249
2024-11-18,-0.19508116,0.51972897,-0.00637495,0.99965642,high,True,0.00493385,none,False,0.00000000,none,False,0.51972897,-0.19508116
2024-11-19,-0.19493043,0.51630921,0.01001467,0.99968240,high,True,0.00489887,none,False,0.00000000,none,False,0.51630921,-0.19493043
2024-11-20,-0.19505570,0.52692734,0.00806367,0.99962464,high,True,0.00487643,none,False,0.00000000,none,False,0.52692734,-0.19505570
2024-11-21,-0.19518193,0.53217267,0.00154341,0.99969699,high,True,0.00485832,none,False,0.00000000,none,False,0.53217267,-0.19518193
2024-11-22,0.19491031,0.19491031,-0.01993625,0.00000000,none,False,0.00616647,none,False,0.00000000,none,False,0.54182093,0.19491031
2024-11-25,-0.19521134,0.55957816,-0.00136447,0.99675031,high,True,0.00516254,none,False,0.00000000,none,False,0.55957816,-0.19521134
2024-11-26,-0.19453980,0.51465365,-0.00105064,0.99898708,high,True,0.00493128,none,False,0.00000000,none,False,0.51465365,-0.19453980
2024-11-27,-0.19563632,0.53148517,0.00430099,0.99961826,high,True,0.00485886,none,False,0.00000000,none,False,0.53148517,-0.19563632
2024-11-29,-0.19588431,0.54872868,-0.01062877,0.99963392,high,True,0.00482710,none,False,0.00000000,none,False,0.54872868,-0.19588431
2024-12-02,-0.19581785,0.56455655,-0.00010575,0.99915336,high,True,0.00480774,none,False,0.00000000,none,False,0.56455655,-0.19581785
2024-12-03,-0.19600042,0.56082271,-0.02442016,0.99950951,high,True,0.00479546,none,False,0.00000000,none,False,0.56082271,-0.19600042
2024-12-04,-0.19597969,0.57885524,0.00389561,0.99064477,high,True,0.00478360,none,False,0.00000000,none,False,0.57885524,-0.19597969
2024-12-05,-0.19564839,0.50263440,-0.01710196,0.99744264,high,True,0.00477204,none,False,0.00000000,none,False,0.50263440,-0.19564839
2024-12-06,-0.19552930,0.51852101,-0.00164921,0.99969007,high,True,0.00476100,none,False,0.00000000,none,False,0.51852101,-0.19552930
2024-12-09,-0.19525105,0.49626268,-0.00684636,0.99989939,high,True,0.00475033,none,False,0.00000000,none,False,0.49626268,-0.19525105
2024-12-10,-0.19536246,0.51265315,0.00166062,0.99989370,high,True,0.00474023,none,False,0.00000000,none,False,0.51265315,-0.19536246
2024-12-11,-0.19532021,0.52244411,-0.00810805,0.99992269,high,True,0.00473047,none,False,0.00000000,none,False,0.52244411,-0.19532021
2024-12-12,-0.19564479,0.53986561,-0.00503097,0.99989223,high,True,0.00472123,none,False,0.00000000,none,False,0.53986561,-0.19564479
2024-12-13,-0.19534729,0.54578956,-0.02221298,0.99992760,high,True,0.00471207,none,False,0.00000000,none,False,0.54578956,-0.19534729
2024-12-16,-0.19564291,0.55841606,-0.00747685,0.99932030,high,True,0.00470344,none,False,0.00000000,none,False,0.55841606,-0.19564291
2024-12-17,-0.19508870,0.50194003,-0.03000359,0.99981076,high,True,0.00469475,none,False,0.00000000,none,False,0.50194003,-0.19508870
2024-12-18,-0.19528696,0.51077156,-0.00872319,0.99560775,high,True,0.00468662,none,False,0.00000000,none,False,0.51077156,-0.19528696
2024-12-19,-0.19432270,0.43395025,0.00979334,0.99948630,high,True,0.00467830,none,False,0.00000000,none,False,0.43395025,-0.19432270
2024-12-20,-0.19462087,0.44242820,0.00585541,0.99963917,high,True,0.00467069,none,False,0.00000000,none,False,0.44242820,-0.19462087
2024-12-23,-0.19493186,0.45120444,0.00842389,0.99973386,high,True,0.00466341,none,False,0.00000000,none,False,0.45120444,-0.19493186
2024-12-24,-0.19526970,0.46484229,-0.00082748,0.99957212,high,True,0.00465640,none,False,0.00000000,none,False,0.46484229,-0.19526970
2024-12-26,-0.19529412,0.47528244,-0.00011824,0.99975598,high,True,0.00464947,none,False,0.00000000,none,False,0.47528244,-0.19529412
2024-12-27,-0.19594564,0.49166964,-0.00011816,0.99975405,high,True,0.00464298,none,False,0.00000000,none,False,0.49166964,-0.19594564
2024-12-30,-0.19592249,0.50856978,0.01304295,0.99974852,high,True,0.00463645,none,False,0.00000000,none,False,0.50856978,-0.19592249
2024-12-31,-0.19630575,0.52578731,0.01160644,0.99932851,high,True,0.00463023,none,False,0.00000000,none,False,0.52578731,-0.19630575
2025-01-02,-0.19641233,0.52232304,0.00930339,0.99892320,high,True,0.00462410,none,False,0.00000000,none,False,0.52232304,-0.19641233
2025-01-03,-0.19620581,0.52352192,-0.00458350,0.99856800,high,True,0.00461798,none,False,0.00000000,none,False,0.52352192,-0.19620581
2025-01-06,-0.19677832,0.53067320,0.00994241,0.99957344,high,True,0.00461232,none,False,0.00000000,none,False,0.53067320,-0.19677832
2025-01-07,-0.19671554,0.54420452,0.00102289,0.99941366,high,True,0.00460660,none,False,0.00000000,none,False,0.54420452,-0.19671554
2025-01-08,-0.19656751,0.54872276,0.00408114,0.99973209,high,True,0.00460096,none,False,0.00000000,none,False,0.54872276,-0.19656751
2025-01-10,-0.19676866,0.56668114,0.02082480,0.99971472,high,True,0.00459559,none,False,0.00000000,none,False,0.56668114,-0.19676866
2025-01-13,-0.19672357,0.58282364,0.01069060,0.99777564,high,True,0.00459028,none,False,0.00000000,none,False,0.58282364,-0.19672357
2025-01-14,-0.19739261,0.53395482,0.01469092,0.99856219,high,True,0.00458538,none,False,0.00000000,none,False,0.53395482,-0.19739261
2025-01-15,-0.19732171,0.53697557,0.00721169,0.99781238,high,True,0.00458035,none,False,0.00000000,none,False,0.53697557,-0.19732171
2025-01-16,0.19712706,0.19712706,0.00769229,0.00000000,none,False,0.00768445,low,False,0.00000000,none,False,0.52650539,0.19712706
2025-01-17,-0.19720921,0.53798334,-0.00512150,0.99971231,high,True,0.00513494,none,False,0.00000000,none,False,0.53798334,-0.19720921
2025-01-21,-0.19692542,0.54826851,-0.01835314,0.99976354,high,True,0.00470320,none,False,0.00000000,none,False,0.54826851,-0.19692542
2025-01-22,-0.17974258,0.56069266,0.00456563,0.99989027,high,True,0.00460337,none,False,0.00000000,none,False,0.56069266,-0.17974258
2025-01-23,0.19676832,0.19676832,-0.00969984,0.00000000,none,False,0.00758030,low,False,0.00000000,none,False,0.52350954,0.19676832
2025-01-24,0.00000000,0.00000000,-0.01045849,0.00000000,none,False,0.00560738,none,False,0.00000000,none,False,0.53892864,0.00000000
2025-01-27,-0.19663851,0.54042774,-0.00956312,0.99990851,high,True,0.00479897,none,False,0.00000000,none,False,0.54042774,-0.19663851
2025-01-28,0.00000000,0.00000000,0.00223202,0.00000000,none,False,0.00489983,none,False,0.00000000,none,False,0.53945552,0.00000000
2025-01-29,-0.19661266,0.54132664,0.00511523,0.99991591,high,True,0.00464461,none,False,0.00000000,none,False,0.54132664,-0.19661266
2025-01-30,0.19662086,0.19662086,-0.02834840,0.00000000,none,False,0.00734785,none,False,0.00000000,none,False,0.55881500,0.19662086
2025-01-31,-0.19676237,0.57353873,0.00625601,0.99020377,high,True,0.00508613,none,False,0.00000000,none,False,0.57353873,-0.19676237
2025-02-03,-0.19589693,0.47679938,0.02076050,0.99871032,high,True,0.00469788,none,False,0.00000000,none,False,0.47679938,-0.19589693
2025-02-04,-0.19585454,0.49011222,0.00210792,0.99577240,high,True,0.00461202,none,False,0.00000000,none,False,0.49011222,-0.19585454
2025-02-05,-0.19563485,0.46494998,-0.01856867,0.99849065,high,True,0.00458829,none,False,0.00000000,none,False,0.46494998,-0.19563485
2025-02-06,-0.19734887,0.48116242,-0.00011299,0.99168158,high,True,0.00457986,none,False,0.00000000,none,False,0.48116242,-0.19734887
2025-02-07,-0.19669842,0.46064427,0.02178009,0.99645705,high,True,0.00457554,none,False,0.00000000,none,False,0.46064427,-0.19669842
2025-02-10,-0.19710192,0.47689691,0.00803307,0.97429680,high,True,0.00457174,none,False,0.00000000,none,False,0.47689691,-0.19710192
2025-02-11,-0.19622097,0.45092355,-0.02440773,0.97754496,high,True,0.00456731,none,False,0.00000000,none,False,0.45092355,-0.19622097
2025-02-12,-0.19648780,0.46208424,0.00749644,0.86271830,high,True,0.00456352,none,False,0.00000000,none,False,0.46208424,-0.19648780
2025-02-13,-0.19560215,0.42554461,0.00400487,0.88126547,high,True,0.00455922,none,False,0.00000000,none,False,0.42554461,-0.19560215
2025-02-14,-0.19578030,0.43743625,0.01356374,0.94098298,high,True,0.00455553,none,False,0.00000000,none,False,0.43743625,-0.19578030
2025-02-18,-0.19570003,0.45227896,0.00785518,0.93483969,high,True,0.00455184,none,False,0.00000000,none,False,0.45227896,-0.19570003
2025-02-19,-0.19573926,0.45357829,0.00908702,0.94728389,high,True,0.00454829,none,False,0.00000000,none,False,0.45357829,-0.19573926
2025-02-20,-0.19551351,0.46495212,-0.02100306,0.94519727,high,True,0.00454465,none,False,0.00000000,none,False,0.46495212,-0.19551351
2025-02-21,-0.19551274,0.47434378,0.00021990,0.81841837,high,True,0.00454119,none,False,0.00000000,none,False,0.47434378,-0.19551274
2025-02-24,-0.19538308,0.44674865,-0.01450818,0.83871498,high,True,0.00453773,none,False,0.00000000,none,False,0.44674865,-0.19538308
2025-02-25,-0.19542605,0.46272330,-0.00570566,0.71448777,high,True,0.00453442,none,False,0.00000000,none,False,0.46272330,-0.19542605
2025-02-26,-0.19562753,0.45739007,0.00537096,0.70951072,high,True,0.00453128,none,False,0.00000000,none,False,0.45739007,-0.19562753
2025-02-27,-0.19537140,0.46969603,0.01539260,0.73737009,high,True,0.00452795,none,False,0.00000000,none,False,0.46969603,-0.19537140
2025-02-28,-0.19556204,0.48393653,-0.03557020,0.52722137,medium,True,0.00452488,none,False,0.00000000,none,False,0.48393653,-0.19556204
2025-03-03,-0.19509608,-0.19509608,-0.00972619,0.00349518,none,False,0.00452154,none,False,0.00000000,none,False,0.47765836,-0.19509608
2025-03-04,-0.19418851,-0.19418851,-0.01471019,0.00372357,none,False,0.00451798,none,False,0.00000000,none,False,0.39226082,-0.19418851
2025-03-05,-0.19398125,-0.19398125,0.00302905,0.00230818,none,False,0.00451479,none,False,0.00000000,none,False,0.40031106,-0.19398125
2025-03-06,-0.19444425,-0.19444425,0.01695642,0.00920720,none,False,0.00451205,none,False,0.00000000,none,False,0.40040004,-0.19444425
2025-03-07,-0.19420773,-0.19420773,0.00740703,0.00327956,none,False,0.00450907,none,False,0.00000000,none,False,0.41485539,-0.19420773
2025-03-10,0.00000000,0.00000000,-0.00797912,,none,False,,none,False,,none,False,,
2025-03-11,-0.19434002,-0.19434002,0.00456737,0.00718089,none,False,0.00455374,none,False,0.00000000,none,False,0.42397075,-0.19434002
2025-03-12,-0.19405565,-0.19405565,-0.00685871,0.02340534,none,False,0.00451323,none,False,0.00000000,none,False,0.43367263,-0.19405565
2025-03-13,-0.19410007,-0.19410007,0.02916448,0.04139068,none,False,0.00450340,none,False,0.00000000,none,False,0.44811336,-0.19410007
2025-03-14,-0.19403055,-0.19403055,0.01580586,0.00484615,none,False,0.00449911,none,False,0.00000000,none,False,0.45900234,-0.19403055
