ticker,detector,N_act,hit_rate,mean_pnl_bps,total_pnl_bps
SPY,RAM,124,0.580645,14.029559,1739.665349
SPY,PSA,0,,,0.000000
SPY,GSO,0,,,0.000000
SPY,MULTI,0,,,0.000000
NVDA,RAM,265,0.535849,6.848570,1814.871117
NVDA,PSA,0,,,0.000000
NVDA,GSO,0,,,0.000000
NVDA,MULTI,0,,,0.000000
BAC,RAM,195,0.533333,7.407211,1444.406063
BAC,PSA,0,,,0.000000
BAC,GSO,0,,,0.000000
BAC,MULTI,0,,,0.000000
TSLA,RAM,224,0.517857,10.202945,2285.459678
TSLA,PSA,0,,,0.000000
TSLA,GSO,0,,,0.000000
TSLA,MULTI,0,,,0.000000
XLE,RAM,268,0.567164,6.932722,1857.969466
XLE,PSA,0,,,0.000000
XLE,GSO,0,,,0.000000
XLE,MULTI,1,0.000000,-17.677473,-17.677473
UNG,RAM,2,0.000000,-68.426451,-136.852902
UNG,PSA,0,,,0.000000
UNG,GSO,0,,,0.000000
UNG,MULTI,0,,,0.000000
MSTR,RAM,1,1.000000,123.959250,123.959250
MSTR,PSA,0,,,0.000000
MSTR,GSO,0,,,0.000000
MSTR,MULTI,0,,,0.000000
SMCI,RAM,275,0.465455,0.684583,188.260456
SMCI,PSA,0,,,0.000000
SMCI,GSO,0,,,0.000000
SMCI,MULTI,3,0.333333,1.467577,4.402732
ROKU,RAM,26,0.500000,-3.626494,-94.288852
ROKU,PSA,0,,,0.000000
ROKU,GSO,0,,,0.000000
ROKU,MULTI,5,0.600000,19.216142,96.080711
MARA,RAM,15,0.533333,-2.420793,-36.311894
MARA,PSA,0,,,0.000000
MARA,GSO,0,,,0.000000
MARA,MULTI,2,0.500000,-25.799848,-51.599696
