ticker,hit_rate_M5,N_M5,p_M5,hit_rate_M8,N_M8,p_M8,mcnemar_a,mcnemar_b,mcnemar_n_disc,mcnemar_p
SPY,0.407407,378,0.000373,0.460317,378,0.135699,52,72,124,0.087553
NVDA,0.474619,394,0.338472,0.522843,394,0.391777,123,142,265,0.268810
BAC,0.443878,392,0.029739,0.487245,392,0.649475,87,104,191,0.246910
TSLA,0.500000,400,1.000000,0.520000,400,0.453296,108,116,224,0.640092
XLE,0.443038,395,0.026711,0.539241,395,0.131076,114,152,266,0.023112
UNG,0.490000,400,0.726387,0.485000,400,0.582374,2,0,2,0.500000
MSTR,0.530000,400,0.250112,0.532500,400,0.211246,0,1,1,1.000000
SMCI,0.520408,392,0.448723,0.471939,392,0.288832,148,129,277,0.279444
ROKU,0.466165,399,0.192979,0.468672,399,0.229513,15,16,31,1.000000
MARA,0.523810,399,0.367540,0.526316,399,0.316705,8,9,17,1.000000
